"ID","Type","Status","Priority","Milestone","Owner","Summary","AllLabels"
"2","Enhancement","Fixed","","","lukas.blunschi","don't show passwords in cleartext","Security, Type-Enhancement"
"3","Enhancement","New","","","","take over contact for all roles when creating domain","Type-Enhancement, Usability"
"4","Enhancement","Fixed","","","lukas.blunschi","service picker for bookings","Type-Enhancement, Usability"
"5","Enhancement","New","","","","date pickers","Type-Enhancement, Usability"
"6","","New","","","","double bookings","Logic"
"7","Enhancement","New","","","","bookings filter by domain","Type-Enhancement"
"8","Enhancement","New","Low","","","Links to issue tracker and homepage","Priority-Low, Type-Enhancement, Usability"
"9","Enhancement","New","","","lukas.blunschi","A legend should explain various options","Type-Enhancement, Usability"
"10","Enhancement","New","","","","Tasks","Type-Enhancement, Usability"
"11","Enhancement","Duplicate","","","","All tables should include a legend explaining each row","Type-Enhancement, Usability"
"12","Enhancement","New","","","","Make ""Add"" button easier reachable","Type-Enhancement, Usability"
"13","Enhancement","New","Low","","","invoices should have an invoice number.","Priority-Low, Type-Enhancement"

